iter	Passed	Remaining
427	1708	2282
428	1711	2278
429	1715	2273
430	1719	2269
431	1722	2265
432	1726	2260
433	1730	2256
434	1734	2253
435	1738	2248
436	1742	2244
437	1745	2239
438	1749	2235
439	1752	2231
440	1757	2227
441	1761	2223
442	1764	2218
443	1768	2214
444	1771	2209
445	1775	2204
446	1778	2200
447	1782	2196
448	1785	2191
449	1789	2186
450	1792	2182
451	1796	2177
452	1799	2172
453	1802	2168
454	1806	2163
455	1809	2159
456	1813	2154
457	1816	2149
458	1820	2145
459	1823	2140
460	1827	2136
461	1830	2131
462	1833	2126
463	1836	2121
464	1840	2117
465	1843	2112
466	1846	2107
467	1850	2103
468	1854	2099
469	1857	2094
470	1861	2090
471	1865	2086
472	1868	2082
473	1872	2078
474	1876	2073
475	1879	2069
476	1883	2064
477	1887	2060
478	1890	2056
479	1894	2051
480	1897	2047
481	1901	2043
482	1904	2038
483	1907	2033
484	1911	2029
485	1914	2024
486	1918	2020
487	1921	2016
488	1924	2011
489	1928	2006
490	1931	2002
491	1934	1997
492	1938	1993
493	1941	1988
494	1944	1983
495	1948	1979
496	1951	1975
497	1955	1970
498	1958	1966
499	1962	1962
500	1965	1957
501	1968	1953
502	1971	1948
503	1975	1943
504	1978	1939
505	1982	1935
506	1986	1931
507	1989	1926
508	1992	1922
509	1996	1917
510	1999	1913
511	2002	1909
512	2006	1904
513	2009	1900
514	2013	1895
515	2016	1891
516	2020	1887
517	2023	1883
518	2027	1878
519	2030	1874
520	2033	1869
521	2037	1866
522	2041	1861
523	2045	1858
524	2049	1854
525	2053	1850
526	2057	1846
527	2060	1841
528	2063	1837
529	2067	1833
530	2071	1829
531	2074	1825
532	2078	1821
533	2082	1817
534	2086	1813
535	2090	1809
536	2094	1805
537	2098	1801
538	2101	1797
539	2106	1794
540	2110	1790
541	2114	1786
542	2118	1782
543	2122	1778
544	2125	1774
545	2129	1770
546	2133	1766
547	2138	1763
548	2141	1759
549	2146	1755
550	2149	1751
551	2153	1747
552	2157	1744
553	2161	1740
554	2165	1736
555	2168	1732
556	2172	1727
557	2176	1723
558	2180	1719
559	2184	1716
560	2187	1711
561	2191	1708
562	2195	1704
563	2199	1700
564	2203	1696
565	2207	1692
566	2211	1688
567	2215	1684
568	2218	1680
569	2223	1677
570	2228	1674
571	2232	1670
572	2236	1666
573	2240	1662
574	2243	1658
575	2247	1654
576	2250	1650
577	2254	1646
578	2258	1642
579	2262	1638
580	2266	1634
581	2270	1630
582	2274	1626
583	2277	1622
584	2281	1618
585	2285	1614
586	2289	1610
587	2292	1606
588	2297	1603
589	2301	1599
590	2305	1595
591	2308	1591
592	2312	1587
593	2316	1583
594	2320	1579
595	2323	1575
596	2328	1571
597	2331	1567
598	2335	1563
599	2339	1559
600	2343	1555
601	2346	1551
602	2350	1547
603	2353	1543
604	2357	1539
605	2361	1535
606	2364	1530
607	2368	1526
608	2372	1523
609	2376	1519
610	2379	1515
611	2383	1511
612	2387	1507
613	2390	1502
614	2394	1498
615	2397	1494
616	2401	1490
617	2405	1486
618	2408	1482
619	2412	1478
620	2415	1474
621	2419	1470
622	2423	1466
623	2426	1462
624	2429	1457
625	2433	1453
626	2436	1449
627	2441	1446
628	2444	1442
629	2448	1437
630	2451	1433
631	2455	1429
632	2458	1425
633	2462	1421
634	2465	1417
635	2468	1413
636	2472	1408
637	2475	1404
638	2479	1400
639	2482	1396
640	2485	1392
641	2489	1388
642	2492	1383
643	2495	1379
644	2499	1375
645	2502	1371
646	2506	1367
647	2509	1363
648	2512	1359
649	2516	1355
650	2520	1350
651	2523	1346
652	2526	1342
653	2529	1338
654	2533	1334
655	2536	1329
656	2539	1325
657	2542	1321
658	2546	1317
659	2550	1313
660	2553	1309
661	2557	1305
662	2562	1302
663	2565	1298
664	2568	1294
665	2572	1290
666	2575	1285
667	2579	1281
668	2582	1277
669	2586	1273
670	2589	1269
671	2593	1265
